Marital_status;Previous_qualification_grade;academic_performance;attendance_rate;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Status;1st_sem_grade;2nd_sem_grade
1;122.0;0.0;Full;No;Yes;Male;No;20;0;Dropout;0.0;0.0
1;160.0;13.833.333.333.333.300;Full;No;No;Male;No;19;0;Graduate;14.0;13.666.666.666.666.600
1;122.0;0.0;Full;No;No;Male;No;19;0;Dropout;0.0;0.0
1;122.0;12.914.285.714.285.700;Full;No;Yes;Female;No;20;0;Graduate;13.428.571.428.571.400;12.4
2;100.0;12.666.666.666.666.600;Partial;No;Yes;Female;No;45;0;Graduate;12.333.333.333.333.300;13.0
2;133.1;11.678.571.428.571.400;Partial;Yes;Yes;Male;No;50;0;Graduate;11.857.142.857.142.800;11.5
1;142.0;13.822.500.000.000.000;Full;No;Yes;Female;Yes;18;0;Graduate;13.3;14.345
1;119.0;0.0;Full;No;No;Male;No;22;0;Dropout;0.0;0.0
1;137.0;14.008.928.571.428.500;Full;No;Yes;Female;Yes;21;1;Graduate;13.875;14.142.857.142.857.100
1;138.0;12.45;Full;Yes;No;Female;No;18;0;Dropout;11.4;13.5
1;139.0;13.266.666.666.666.600;Full;No;Yes;Female;No;18;0;Graduate;12.333.333.333.333.300;14.2
1;136.0;13.214.285.714.285.700;Full;No;Yes;Female;Yes;18;0;Graduate;13.214.285.714.285.700;13.214.285.714.285.700
1;133.0;0.0;Full;No;Yes;Female;No;19;0;Dropout;0.0;0.0
1;110.0;10.785.714.285.714.200;Full;No;Yes;Female;Yes;21;0;Graduate;10.571.428.571.428.500;11.0
1;149.0;12.625;Full;No;Yes;Female;Yes;18;0;Graduate;13.25;12.0
1;127.0;6.6;Full;No;Yes;Female;No;20;0;Dropout;13.2;0.0
1;137.0;11.5;Full;No;Yes;Female;No;18;0;Enrolled;12.0;11.0
1;135.0;13.925.625;Full;No;Yes;Female;No;18;0;Graduate;1.330.625;14.545
1;137.0;12.375;Full;No;Yes;Female;No;20;0;Graduate;12.5;12.25
